abstract,url
"A subset of recovered COVID-19 patients report persistent neurological symptoms. These include non-specific symptoms (e.g., headaches and fatigue) which were found to be affected by psychological processes in other disorders (e.g., post-concussion syndrome, PCS, after mild traumatic brain injury). The current study assessed the impact of diagnosis threat (i.e., information regarding the long-term neurological impact of COVID-19) and suggestibility on endorsed symptoms of both recovered patients and healthy controls. Method: Recovered patients (n = 90) and healthy controls (n = 210) described their cognitive functioning after being randomly assigned to: (a) Experimental group: These participants read an article that explored long-term neurological symptoms among COVID-19 survivors. (b) Control group: These participants read an article providing general information regarding the disease. Results: Recovered patients, but not healthy controls, endorsed more symptoms in the experimental condition compared to the control condition. Moreover, suggestibility was correlated with endorsement of symptoms. Conclusions: Post COVID-19 neurological symptoms may, at least partially, be affected by non-neurological factors such as diagnosis threat. Information regarding long-term effects of COVID-19 may skew reported symptoms with highly suggestible individuals particularly susceptible to these effects. Further research, however, is needed to validate and elaborate upon these initial findings.",https://www.elsevier.es/en-revista-international-journal-clinical-health-psychology-355-avance-resumen-covid-19-impact-diagnosis-threat-suggestibility-S169726002100034X?referer=buscador
"Este trabajo describe la gestión de los recursos humanos y la estrategia de vacunación desde la atención primaria en doce países europeos en relación con la pandemia COVID-19. Se ha encontrado que todos los países desarrollaron fórmulas para ampliar el número de efectivos que trabajan en atención primaria. Se incorporaron profesionales para apoyo de los médicos de familia que asumieron tareas bajo la supervisión y coordinación de la medicina de familia. En cuanto a la estrategia vacunal, la Comisión Europea ha tenido un papel crucial en la producción, compra y distribución de las vacunas. La campaña de vacunación ha tenido una participación desigual de la atención primaria según los países ya que la mayor carga se está gestionando desde las direcciones de salud pública de los gobiernos.",https://www.elsevier.es/es-revista-atencion-primaria-27-avance-resumen-gestion-recursos-humanos-estrategias-vacunacion-S0212656721001669?referer=buscador
Viral infections have been described to increase the risk of decompensation in patients with cirrhosis. We aimed to determine the effect of SARS-CoV-2 infection on outcome of hospitalized patients with cirrhosis and to compare the performance of different prognostic models for predicting mortality.,https://www.elsevier.es/en-revista-annals-hepatology-16-avance-resumen-comparison-different-prognostic-scores-for-S1665268121000491?referer=buscador
"The rapid identificationand isolation of COVID-19 patients has become the cornerstone for the control of the recent outbreak. Real-time quantitative polymerase chain reaction is routinely used to confirm COVID-19 diagnosis and is considered the gold standard due to high sensitivity and specificity. Nevertheless, it usually takes several days and a relatively higher cost. Antigen tests based have emerged to cope with such disadvantages, by offering rapid results, an easy-to-use procedure, and low costs. The objective of the narrative review was to provide up-to-date data about CE-marked rapid antigen tests (RATs) for COVID-19. Given their large number, the study only focused on representative and widely used in Spain (Standard Q, Nadal, Panbio, CerTest, and Wondfo). RATs have become a very useful and validated tool for controlling the spread of COVID-19 allowing the rapid identification of active infection and isolation of positive patients. The present revision of the literature has demonstrated that sensitivity and specificity of all available RATs in Spain are high and accomplish European regulations and WHO recommendations.",https://www.elsevier.es/es-revista-atencion-primaria-27-avance-resumen-rapid-antigen-tests-for-detection-S021265672100161X?referer=buscador
To investigate possible early prognostic factors among middle-aged and older adult and explore prognostic rules stratifying risk of patients.,https://www.elsevier.es/es-revista-atencion-primaria-27-avance-resumen-development-predictive-prognostic-rule-for-S0212656721001529?referer=buscador
Describimos el papel de la atención primaria (AP) en 12 países europeos con relación a la COVID-19. No existe información oficial a nivel europeo sobre la actividad de AP. Los hallazgos fueron:,https://www.elsevier.es/es-revista-atencion-primaria-27-avance-resumen-el-papel-atencion-primaria-pandemia-S0212656721001682?referer=buscador
"Mental health problems are common among adolescents and greatly influenced by stressful events. This study sought to assess the prevalence and correlates of insomnia, depressive and anxiety symptoms among Chinese adolescents during the COVID-19. Method: Cross-sectional study (N = 1,794 adolescents, mean age = 15.26) was conducted in May 2020. An online survey was used to collect socio-demographic data, COVID-related fear (COVID-fear), nutrition, physical activity (PA) level and the symptoms of insomnia, depression and anxiety. Results: The prevalence of insomnia, depressive and anxiety symptoms was 37.80%, 48.20% and 36.70%, respectively, among Chinese adolescents during the pandemic. Generalized linear models revealed that female, left behind children, and students with greater COVID-fear tended to report symptoms of insomnia, depression and anxiety concurrently. After adjusting for socio-demographic factors and COVID-fear, better nutritional status and moderately active PA were both associated with lower levels of depressive and anxiety symptoms, while highly active PA was associated with lower levels of insomnia, depressive and anxiety symptoms. Conclusions: These findings suggest that more attention should be paid to psychological health among adolescents while combating COVID-19. To promote adolescents’ mental health, educators should help adolescents develop a healthy lifestyle with balanced diet and regular exercise.",https://www.elsevier.es/en-revista-international-journal-clinical-health-psychology-355-avance-resumen-mental-health-problems-among-chinese-S1697260020301034?referer=buscador
"As of January 2021, over 88 million people have been infected with COVID-19. Almost two million people have died of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). A high SOFA score and a D-Dimer >1 µg/mL identifies patients with high risk of mortality. High lactate dehydrogenase (LDH) levels on admission are associated with severity and mortality. Different degrees of alanine aminotransferase (ALT) and/or aspartate aminotransferase (AST) abnormalities have been reported in these patients, its association with a mortality risk remains controversial. The aim of this study was to explore the correlation between LDH and in-hospital mortality in Mexican patients admitted with COVID-19.",https://www.elsevier.es/en-revista-annals-hepatology-16-avance-resumen-lactate-dehydrogenase-associated-with-mortality-in-S1665268121000375?referer=buscador
"Se han reportado series de casos de SCA en pacientes COVID 19. Nuestro objetivo fue describir su incidencia, características, y pronóstico a 3 meses. Para contextualizar esta incidencia se comparó con la incidencia de SCA intrahospitalarios durante el mismo periodo del 2019.",https://www.elsevier.es/es-revista-medicina-clinica-2-articulo-infeccion-por-sars-cov-2-un-factor-S0025775321000245?referer=buscador
"En el contexto de la pandemia mundial por COVID-19, las distintas manifestaciones clínicas de esta infección suponen un reto para los profesionales sanitarios. La afectación respiratoria, síntoma principal de la infección por SARS-CoV-2, hace que otras manifestaciones, como las neurológicas, pasen a un segundo plano, con el consecuente retraso en el diagnóstico y tratamiento.",https://www.elsevier.es/es-revista-medicina-clinica-2-articulo-encefalitis-como-manifestacion-neurologica-del-S0025775321002153?referer=buscador
"Comparar el rendimiento de las escalas pronósticas PSI, CURB-65, MuLBSTA y COVID-GRAM para predecir mortalidad y necesidad de ventilación mecánica invasiva en pacientes con neumonía por SARS-CoV-2. Valorar la existencia de coinfección bacteriana respiratoria durante el ingreso.",https://www.elsevier.es/es-revista-medicina-clinica-2-articulo-aplicacion-escalas-pronosticas-gravedad-neumonia-S0025775321000221?referer=buscador
To report the impact of the COVID-19 pandemic on the activity of nurses working on an inflammatory bowel disease (IBD) unit and to identify reasons for telehealth care and its relationship to certain characteristics.,https://www.elsevier.es/es-revista-gastroenterologia-hepatologia-14-articulo-impact-covid-19-pandemic-on-activity-S0210570521000054?referer=buscador
"Se han introducido recientemente técnicas de anestesia regional, para aportar analgesia en la cirugía de mama. Dichas técnicas son raramente utilizadas como anestesia primaria, debido a la complejidad de la inervación de la mama, con numerosas estructuras que pueden verse potencialmente alteradas durante la cirugía.",https://www.elsevier.es/es-revista-revista-espanola-anestesiologia-reanimacion-344-articulo-bloqueos-del-plano-fascial-ecoguiados-S0034935620302413?referer=buscador
"To describe outcomes of critically ill patients with COVID-19, particularly the association of renal replacement therapy to mortality.",https://www.elsevier.es/en-revista-medicina-intensiva-english-edition--464-articulo-outcomes-renal-replacement-therapy-in-S2173572721000801?referer=buscador
"In 1348, a pandemic known as Black Death devastated humanity and changed social, economic and geopolitical world order, as is the current case with SARS-CoV-2 coronavirus. The doctor of the Nasrid Kingdom of Granada, Ibn-Jatima from Almeria, wrote “Treatise on the Plague”, in which it may be found epidemiological and clinical similarities between both plagues. In the context of Greco-Arab medicine, he discovered respiratory and contact contagion of Pestis and attributed its physiopathology to a lack of pulmonary cooling of the innate heat, generated in the heart and carried by the blood humor. The process described was equivalent to the oxygen transport system. Furthermore, it was supposed to generate toxic residues, such as free radicals, leading to an irreversible multiple organ failure (MOF), considered a mortality factor as in Covid-19. Due to its similitude, it would be the first antecedent of the MOF physiopathological concept, a finding that enriches the scientific and historical heritage of our clinical specialty.",https://www.elsevier.es/en-revista-medicina-intensiva-english-edition--464-articulo-regarding-pandemics-ibn-jatima-from-S2173572721000692?referer=buscador
"To describe outcomes of critically ill patients with COVID-19, particularly the association of renal replacement therapy to mortality.",https://www.elsevier.es/es-revista-medicina-intensiva-64-articulo-outcomes-renal-replacement-therapy-in-S0210569121000206?referer=buscador
